,brewery_name,review_overall,beer_style,beer_name,beer_abv,beer_brew_name,unique_id,user_id
0,Amstel Brouwerij B. V.,3.0,Light Lager,Amstel Light,3.5,Amstel Light (Amstel Brouwerij B. V.),1,3280
1,Amstel Brouwerij B. V.,2.5,Light Lager,Amstel Light,3.5,Amstel Light (Amstel Brouwerij B. V.),1,4790
2,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,4700
3,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,7879
4,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3167
5,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8656
6,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,9373
7,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,633
8,Caldera Brewing Company,5.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,2021
9,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,10083
10,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,2547
11,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8740
12,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,1358
13,Amstel Brouwerij B. V.,3.0,Light Lager,Amstel Light,3.5,Amstel Light (Amstel Brouwerij B. V.),1,6126
14,Caldera Brewing Company,5.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,6387
15,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,1418
16,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,2590
17,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,7484
18,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3991
19,Caldera Brewing Company,3.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,930
20,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,7578
21,Caldera Brewing Company,3.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8946
22,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,5531
23,Amstel Brouwerij B. V.,3.0,Light Lager,Amstel Light,3.5,Amstel Light (Amstel Brouwerij B. V.),1,5061
24,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,9777
25,Caldera Brewing Company,5.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,5146
26,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,5067
27,Caldera Brewing Company,3.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3470
28,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8818
29,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,2911
30,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,4572
31,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3379
32,Caldera Brewing Company,3.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,10145
33,Caldera Brewing Company,3.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,7189
34,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3734
35,Caldera Brewing Company,3.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,10352
36,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,1359
37,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,270
38,Caldera Brewing Company,4.5,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3384
39,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8789
40,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,2004
41,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,8205
42,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,6321
43,Caldera Brewing Company,4.0,Rauchbier,Rauch Ür Bock,7.4,Rauch Ür Bock (Caldera Brewing Company),2,3012
44,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9576
45,Caldera Brewing Company,2.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5761
46,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6201
47,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,519
48,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8530
49,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7075
50,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10117
51,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,165
52,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1996
53,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1077
54,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4302
55,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2480
56,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7309
57,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3397
58,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,552
59,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2733
60,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9717
61,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5688
62,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8382
63,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8417
64,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9821
65,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5878
66,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4572
67,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8070
68,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4425
69,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9486
70,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1916
71,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9086
72,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7766
73,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8880
74,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10700
75,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4398
76,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7029
77,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8789
78,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5941
79,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1868
80,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4050
81,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5631
82,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1718
83,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9581
84,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7588
85,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1422
86,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4750
87,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10260
88,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1580
89,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3872
90,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2053
91,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1741
92,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4478
93,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5989
94,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1418
95,Caldera Brewing Company,4.0,Belgian Strong Dark Ale,Vas Deferens Ale,8.1,Vas Deferens Ale (Caldera Brewing Company),4,3567
96,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3379
97,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8125
98,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7257
99,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8131
100,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6758
101,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9179
102,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1173
103,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4972
104,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7334
105,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2303
106,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4525
107,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5290
108,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1358
109,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2391
110,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5236
111,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6033
112,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5048
113,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5408
114,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1241
115,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6536
116,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6471
117,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8654
118,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7481
119,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,576
